Phi,Psi
-92.235,-150.11
-91.722,-150.113
-92.089,-150.1
-92.721,-150.253
-92.271,-149.643
-92.59,-150.073
-91.436,-150.097
-92.574,-150.471
-92.506,-150.05
-91.734,-150.601
-91.784,-150.229
-92.191,-150.686
-92.356,-149.568
-92.521,-150.402
-92.15,-150.386
-92.284,-149.906
-92.382,-150.315
-92.414,-151.214
-92.071,-150.584
-91.884,-150.739
-92.117,-150.921
-92.478,-150.767
-92.543,-150.48
-90.943,-150.973
-92.498,-150.652
-92.073,-150.423
-92.282,-150.728
-92.048,-150.902
-91.698,-150.103
-91.634,-150.414
-92.323,-150.464
-91.355,-150.394
-92.377,-150.127
-91.583,-150.267
-93.526,-149.055
-92.831,-149.843
-92.059,-150.434
-93.521,-149.138
-92.938,-149.704
-92.413,-150.079
-92.189,-150.449
-91.138,-151.003
-91.256,-150.507
-92.858,-150.178
-92.415,-149.981
-92.072,-150.308
-92.203,-150.937
-92.109,-150.36
-93.079,-150.251
-92.676,-150.894
-91.962,-149.923
-92.141,-150.007
-92.918,-149.994
-91.721,-150.08
-92.478,-150.15
-92.271,-150.42
-91.928,-150.734
-91.872,-150.129
-92.753,-150.755
-91.808,-150.134
-92.254,-150.108
-91.876,-151.165
-92.72,-150.753
-92.064,-150.068
-92.428,-150.585
-92.395,-151.097
-92.177,-150.602
-91.916,-150.6
-91.532,-150.911
-91.807,-150.333
-91.95,-150.703
-92.43,-150.006
-91.076,-151.589
-91.957,-150.191
-92.57,-149.756
-91.73,-150.408
-91.97,-150.758
-91.921,-150.05
-92.977,-149.741
-91.708,-151.046
-91.859,-150.514
-92.488,-150.24
-92.793,-150.069
-92.34,-150.168
-92.591,-150.253
-92.861,-149.401
-91.874,-150.435
-91.552,-150.444
-91.957,-150.58
-92.557,-150.063
-92.778,-150.427
-92.428,-150.126
-92.487,-150.477
-91.974,-149.961
-92.544,-150.153
-91.89,-150.955
-92.354,-149.831
-92.229,-150.631
-91.821,-150.112
-91.949,-150.644
-92.66,-150.385
-91.893,-150.103
-92.085,-150.289
-92.767,-149.857
-91.44,-150.817
-91.915,-150.685
-93.113,-149.67
-92.199,-150.009
-92.109,-150.086
-91.908,-150.621
-92.557,-149.396
-92.535,-150.039
-91.753,-150.533
-92.061,-150.508
-92.035,-150.482
-92.037,-150.764
-92.552,-150.46
-92.251,-150.356
-91.769,-150.681
-91.265,-151.112
-92.844,-150.538
-91.545,-150.75
-92.331,-150.242
-92.274,-150.711
-92.664,-149.802
-92.446,-150.131
-92.244,-150.399
-91.607,-151.196
-92.612,-150.045
-91.6,-150.856
-92.109,-150.516
-93.106,-150.43
-92.235,-150.635
-91.479,-150.629
-92.108,-150.783
-92.606,-150.004
-92.2,-149.943
-91.749,-149.528
-92.042,-150.793
-91.225,-151.43
-92.259,-150.291
-91.692,-150.486
-91.934,-149.994
-92.183,-150.752
